Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,french_text
1810,Who cares?!,Monica,anger,negative,182,8,5,10,"0:07:25,611","0:07:27,363",Qui se soucie?
1811,That doesn't mean anything!,Monica,anger,negative,182,9,5,10,"0:07:27,363","0:07:27,585",Et alors ? Ca ne veut rien dire. .
1812,"Now look, you're going to go out on a date with Danny and you're going to be so charming he's gonna forget all about that stupid subway girl.",Monica,neutral,neutral,182,10,5,10,"00:07:27,697","00:07:33,577",Va au rendez-vous avec Danny. Tu seras si charmante. . .qu'il va oublier cette idiote.
1813,She was kinda stupid.,Rachel,neutral,neutral,182,11,5,10,"00:07:34,787","00:07:36,913",Elle avait l'air idiot.
1814,You're right.,Rachel,neutral,neutral,182,12,5,10,"0:07:37,748","0:07:38,510",Tu as raison. Je vais juste aller au rendez
1815,"All right, I'm just gonna go on the date.",Rachel,neutral,neutral,182,13,5,10,"0:07:38,510","0:07:41,102",vous.
1816,I'm gonna go on the date.,Rachel,neutral,neutral,182,14,5,10,"0:07:41,102","0:07:41,391",Aller au rendez
1817,That is the new plan.,Rachel,neutral,neutral,182,15,5,10,"00:07:41,461","00:07:45,589",vous. C'est le nouveau plan.
1819,Hi.,Phoebe,neutral,neutral,183,0,2,4,"00:09:52,592","00:09:53,925",Je vous salue.
1820,Phoebe!,Duncan,surprise,positive,183,1,2,4,"0:09:54,343","0:09:55,315",Je suis là.
1821,Ta-da.,Phoebe,joy,positive,183,2,2,4,"0:09:55,315","0:09:56,264",Je suis là.
1822,Hey.,Duncan,neutral,neutral,183,3,2,4,"0:09:57,346","0:09:58,139",Je suis là.
1823,Hi.,Phoebe,neutral,neutral,183,4,2,4,"0:09:58,139","0:09:58,830",Je vous salue.
1824,"Ahh, look at you, you look great.",Duncan,joy,positive,183,5,2,4,"00:09:59,098","00:10:01,308",T'as l'air en pleine forme !
1825,"Do I? Thank you, so do you.",Phoebe,neutral,neutral,183,6,2,4,"00:10:01,684","00:10:03,810",Toi aussi. Etincelant !
1826,Thanks.,Duncan,neutral,neutral,183,7,2,4,"0:10:04,186","0:10:05,688",- Je vous remercie.
1827,Sparkly.,Phoebe,neutral,neutral,183,8,2,4,"0:10:05,688","0:10:06,938",- C'est éclairé.
1828,"So, wow, this is pretty wonerful, huh.",Phoebe,joy,positive,183,9,2,4,"00:10:09,025","00:10:15,572","C'est formidable, non ? M. Holiday on lce !"
1829,Mr. major capades guy.,Phoebe,neutral,neutral,183,10,2,4,"00:10:10,318","00:10:15,572",Le gars de la majorité.
1830,"I, I remember when you were just, like, King Friday in Mr. Roger's Ice is Nice.",Phoebe,neutral,neutral,183,11,2,4,"00:10:16,824","00:10:21,494",Je te revois encore dans M. Roger fait du patin.
1831,You always said I'd make it.,Duncan,joy,positive,183,12,2,4,"00:10:23,080","00:10:24,789",Tu disais que je réussirais.
1832,"Yeah, well, ya know, I'm kind of spooky that way. Wooo.",Phoebe,neutral,neutral,183,13,2,4,"00:10:25,041","00:10:28,376","Je peux être assez flippante, pour ça."
1833,I missed you.  I'm gonna get changed.,Duncan,neutral,neutral,183,14,2,4,"00:10:29,920","00:10:36,801",Tu m'as manqué.Je vais me changer.
1834,OK.,Phoebe,neutral,neutral,183,15,2,4,"00:10:34,800","00:10:36,801",Je suis en train de vous dire.
1835,"Um, now. Phoebs.",Duncan,neutral,neutral,183,16,2,4,"00:10:39,055","00:10:40,764",Je suis en train de faire une fête.
1836,"Oh, right, OK. Ole.",Phoebe,neutral,neutral,183,17,2,4,"00:10:43,559","00:10:45,685","C'est vrai, Ole."
1837,What?,Duncan,neutral,neutral,183,18,2,4,"00:10:46,270","00:10:48,980",- Je ne sais pas.
1838,"Um, the matador.  Ole, ha ha ha.",Phoebe,joy,positive,183,19,2,4,"00:10:50,441","00:10:58,281",Le matador.
1839,"Hi Joey it's Jane Rogers, can't wait    for your party tonight.",Jane,joy,positive,184,0,9,20,"00:05:46,751","00:05:49,462",<i>C'est Jan Rogers.</i> Je viens à ta fête.
1840,"Listen, I forgot your address, can you give me a call?",Jane,neutral,neutral,184,1,9,20,"0:05:49,629","0:05:52,341",<i>J'ai oublié ton adresse.</i> Tu m'appelles ? Merci.
1841,"Thanks, bye.",Jane,neutral,neutral,184,2,9,20,"0:05:52,341","0:05:54,322","Merci, au revoir."
1842,Hey!,Joey,joy,positive,184,3,9,20,"0:05:55,676","0:05:56,344",Je suis là.
1843,Hey!,Rachel,joy,positive,184,4,9,20,"0:05:56,344","0:05:57,613",Je suis là.
1844,What's happening?,Joey,joy,positive,184,5,9,20,"00:05:57,720","00:05:58,888",Ça va ?
1845,"Yeah, it's a real shame you can't make it to that one-woman    show tonight.",Rachel,sadness,negative,184,6,9,20,"00:05:59,138","00:06:03,351",Dommage que tu ne puisses pas venir au thêâtre.
1846,"Oh, I'd love to, but I gotta get up so early the next day and    so, you know me, work comes first",Joey,neutral,neutral,184,7,9,20,"00:06:03,518","00:06:10,441","J'aimerais bien, mais je me lève tôt.Le travail avant tout."
1847,"Oh, yeah, yeah, yeah...",Rachel,neutral,neutral,184,8,9,20,"00:06:06,729","00:06:10,441",Je suis désolé.
1848,"""Hi Joey, it's Jane Rogers can't wait for your party tonight""",Message,joy,positive,184,9,9,20,"00:06:11,943","00:06:15,488","""Salut Joey, c'est Jane Rogers qui ne peut pas attendre ta fête ce soir"""
1849,Stupid Jane Rogers!!,Joey,anger,negative,184,10,9,20,"00:06:17,281","00:06:19,575",Quelle idiote !
1850,You are having a party tonight??,Rachel,surprise,negative,184,11,9,20,"00:06:20,576","00:06:22,578",Tu fais une fête ce soir ?
1851,Kinda have a... a thing for the Days Of Our Life's people.,Joey,neutral,neutral,184,12,9,20,"00:06:23,120","00:06:26,290",C'est pour l'êquipe des ''Jours et des vies''.
1852,And you weren't going to tell us? How did you think you were    gonna get away with that?,Rachel,anger,negative,184,13,9,20,"00:06:26,457","00:06:32,421",Sans nous le dire ?Tu imaginais pouvoir le cacher ?
1853,I do it every year.,Joey,neutral,neutral,184,14,9,20,"00:06:30,586","00:06:32,421",Comme chaque annêe.
1854,You do that every year??,Rachel,surprise,negative,184,15,9,20,"00:06:34,048","00:06:36,092",Tu fais ça chaque annêe ?
1855,I didn't have to tell you that!! I'm stupider than Jane Rogers!!,Joey,anger,negative,184,16,9,20,"00:06:36,259","00:06:41,472",Pourquoi te dire ça ?Je suis plus bête que Jan Rogers !
1856,"Oh, that's why you got these tickets to that play, to get rid    of us??",Rachel,anger,negative,184,17,9,20,"00:06:42,473","00:06:45,685","Le thêâtre, c'est pour te dêbarrasser de nous !"
1857,Yeah...,Joey,neutral,neutral,184,18,9,20,"00:06:45,852","00:06:46,936",Je suis désolé.
1858,And last year is that why you sent us to that medieval times    restaurant?,Rachel,anger,negative,184,19,9,20,"00:06:47,103","00:06:50,565","L'an dernier, c'êtait le restaurant mêdiêval ?"
1859,Yeah...,Joey,neutral,neutral,184,20,9,20,"00:06:50,731","00:06:51,941",Je suis désolé.
1860,"OH! And the year before that, when you set up that nighttime    tour of that button factory?",Rachel,anger,negative,184,21,9,20,"00:06:52,817","00:06:57,446","Et l'annêe d'avant,c'êtait la visite nocturne de l'usine de boutons ?"
1861,Who's this from?,Rachel,surprise,positive,185,0,1,24,"0:08:26,547","0:08:27,319",C'est de qui ? - De Ross .
1862,"Oh, that's Ross's.",Chandler,neutral,neutral,185,1,1,24,"0:08:27,319","0:08:28,553",C'est celui de Ross.
1863,Oh...  Oh my God. He remembered.,Rachel,surprise,positive,185,2,1,24,"00:08:34,805","00:08:38,892",Il s'est souvenu !
1864,Remembered what?,Phoebe,neutral,neutral,185,3,1,24,"00:08:39,101","00:08:40,310",De quoi ?
1865,It was like months ago.,Rachel,surprise,positive,185,4,1,24,"00:08:40,520","00:08:42,229",Il y a des mois ...
1866,"We were walking by this antique store, and I saw this pin in the window, and I told him that it was just like one my grandmother had when I was a little girl.",Rachel,sadness,negative,185,5,1,24,"00:08:42,438","00:08:49,819","en passant devant un antiquaire, j'ai vu cette broche .Je lui ai dit que ma grand- mère avait la même, quand j'étais petite ."
1867,Oh!,Rachel,surprise,positive,185,6,1,24,"00:08:50,029","00:08:51,029",Je suis là.
1868,I can't believe he remembered!,Rachel,surprise,positive,185,7,1,24,"00:08:50,029","00:08:53,365",C'est incroyable qu'il s'en soit souvenu !
1869,"Oh, it's so pretty. This must have cost him a fortune.",Phoebe,surprise,positive,185,8,1,24,"00:09:01,290","00:09:07,420",Elle est adorable .Il a dû payer une fortune !
1870,I can't believe he did this.,Monica,surprise,positive,185,9,1,24,"00:09:04,460","00:09:07,420",J'en reviens pas !
1871,"Come on, Ross? Remember back in college, when he fell in love with Carol and bought her that ridiculously expensive crystal duck?",Chandler,neutral,neutral,185,10,1,24,"00:09:07,630","00:09:16,555","A la fac, il était amoureux de Carol ...il lui avait offert un canard en cristal hors de prix !"
1872,What did you just say?,Rachel,surprise,positive,185,11,1,24,"00:09:14,887","00:09:16,555",Tu as dit quoi ?
1873,F-hah.... flennin....,Chandler,fear,negative,185,12,1,24,"00:09:41,247","00:09:42,998",Canard en cristal .
1874,Oh.... my God.,Rachel,surprise,positive,185,13,1,24,"00:09:46,377","00:09:49,379",Tu m'étonnes . C'est énorme !
1875,I really like waking up with you.,Gary,joy,positive,186,0,5,21,"00:19:59,698","00:20:01,282",J'aime me réveiller avec toi.
1876,"I like waking up with you too.  Oh! It's such a beautiful morning.  Oh, I can stay here all day.",Phoebe,joy,positive,186,1,5,21,"00:19:59,698","00:20:07,163",Moi aussi.Quelle belle matinée !Je pourrais passer la journée ici.
1877,That would be great!,Gary,joy,positive,186,2,5,21,"00:20:09,166","00:20:10,917",Ce serait super.
1878,We could have breakfast in bed,Phoebe,joy,positive,186,3,5,21,"0:20:11,168","0:20:12,980",On pourrait déjeuner au lit. - Attends.
1879,"Wait, just a second.",Gary,neutral,neutral,186,4,5,21,"0:20:12,980","0:20:13,729","Allez, Monica ! Un peu de nerf !"
1880,Okay.  Oh! Oh no.,Phoebe,surprise,negative,186,5,5,21,"00:20:15,797","00:20:19,425",Je suis désolé.
1881,"Well that was depressing, I think I just bought a soft pretzel from one of the kids from",Rachel,sadness,negative,187,0,3,24,"00:08:18,664","00:08:23,293",Je jurerais que le vendeur de bretzels était dans Fame.
1882,Um-hmm. Oh wait! This is Bonnie.,Phoebe,surprise,positive,187,1,3,24,"00:08:24,170","00:08:27,214","Prête pour le ciné ? Rach, voici Bonnie."
1883,Hi!,Bonnie,joy,positive,187,2,3,24,"00:08:27,423","00:08:28,507",Je vous en prie.
1884,This is Bonnie?  This is Bonnie?  You’re Bonnie?,Rachel,surprise,positive,187,3,3,24,"00:08:29,509","00:08:30,675",Voici Bonnie ?C'est Bonnie ? T'es Bonnie ?
1885,I can show you an ID if you want?,Bonnie,neutral,neutral,187,4,3,24,"00:08:33,095","00:08:36,014",Je peux te montrer mes papiers si tu veux.
1886,"Oh no, I’m sorry, you look a lot different from the last time I-I saw you.",Rachel,surprise,positive,187,5,3,24,"00:08:36,224","00:08:40,268",T'es très différente de la dernière fois.
1887,"Oh yeah, well I just started wearing bras again.",Bonnie,neutral,neutral,187,6,3,24,"00:08:40,520","00:08:43,396",C'est parce que je remets des soutifs !
1888,"Oh, that must be it.",Rachel,neutral,neutral,187,7,3,24,"00:08:44,190","00:08:45,941",Ca doit être ça.
1889,Well I hope you have fun tonight.,Phoebe,neutral,neutral,187,8,3,24,"00:08:47,485","00:08:48,735",Amusez-vous bien.
1890,Thanks! You too.,Bonnie,joy,positive,187,9,3,24,"00:08:48,945","00:08:50,153",Vous aussi.
1891,I believe it.,Rachel,neutral,neutral,188,0,4,2,"00:09:35,324","00:09:36,992","Moi, j'y crois."
1893,"Yes, I do.",Rachel,neutral,neutral,188,2,4,2,"0:09:39,891","0:09:40,887","Si, j'y crois."
1894,"No you do—y'know what, you’re not gonna suck me into this.",Ross,anger,negative,188,3,4,2,"00:09:40,997","00:09:47,836","Non, tu. . .Tu sais quoi ?Je ne marche pas dans ton jeu."
1895,"Oh sure I am, because you always have to be right.",Rachel,anger,negative,188,4,4,2,"00:09:48,004","00:09:52,173","Si, tu vas marcher. Tu veux toujours avoir raison."
1896,"I do not always have to be—okay, okay.",Ross,anger,negative,188,5,4,2,"00:09:52,341","00:09:54,467",Je ne veux pas toujours. . .
1897,Jurassic Park,Rachel,neutral,neutral,188,6,4,2,"00:09:58,347","00:10:00,140",<i>Jurassic Park</i> est plausible.
1898,"I'm telling you, something's wrong! My brother does not stay out all night.",Monica,fear,negative,189,0,5,12,"00:09:12,760","00:09:15,887",Mon frère ne passe jamais la nuit dehors.
1899,Maybe we should check the trash chute.,Joey,neutral,neutral,189,1,5,12,"00:09:16,055","00:09:18,181",Faut vérifier le vide-ordures.
1900,Ross couldn't fit down the trash chute.,Rachel,neutral,neutral,189,2,5,12,"00:09:19,809","00:09:22,143",Ross ne passerait pas dedans.
1901,"That's right, he almost could. Which is exactly how I got stuck there.",Joey,neutral,neutral,189,3,5,12,"00:09:22,353","00:09:27,315","Exact. ll passerait ''presque'' .Moi, je suis resté coincé."
1902,Hey!,Phoebe,neutral,neutral,189,4,5,12,"0:09:28,985","0:09:29,957",Je suis là.
1903,There he is!,Rachel,joy,positive,189,5,5,12,"0:09:29,957","0:09:30,415",Il est là!
1904,Oh my God!  Where the hell have you been?!!,Monica,anger,negative,189,6,5,12,"00:09:30,528","00:09:34,447",Dieu soit loué !Où tu étais ?
1905,"Just, y'know out.",Ross,neutral,neutral,189,7,5,12,"00:09:35,283","00:09:37,534",Juste. . . dehors.
1906,"Ohh, out, oh God, I don't know why we didn't think to check there!",Rachel,anger,negative,189,8,5,12,"00:09:37,743","00:09:42,289","Oh, dehors ! Pourquoi on n'a pas commencé par là ?"
1907,What were you doing?,Phoebe,neutral,neutral,189,9,5,12,"00:09:42,665","00:09:43,999",Qu'as-tu fait ?
1908,"I uh, went to a bar. And then I just uh, just walked around for a while.",Ross,neutral,neutral,189,10,5,12,"00:09:44,208","00:09:50,630",Je suis allé dans un bar. Et puis. . .j'ai juste marché un peu.
1910,He hooked up! He hooked up with someone.,Joey,surprise,positive,189,12,5,12,"00:09:55,845","00:10:00,390",ll a fait une touche !Une touche avec une fille.
1911,"Look, I don't have to answer your questions! Okay? I'm a big boy, I can do whatever I want!",Ross,anger,negative,189,13,5,12,"00:10:00,600","00:10:05,353",Je n'ai pas à répondre. Je suis grand.Je fais ce que je veux.
1912,He hooked up!! Tell us about her!,Joey,joy,positive,189,14,5,12,"00:10:05,563","00:10:11,067",Il s'est connecté!
1913,Ross you left you scarf in… Hey you guys.,Janice,neutral,neutral,189,15,5,12,"00:10:11,861","00:10:22,454","Ross, vous avez laissé votre écharpe dans..."
1915,"Oh yeah, that looks good.",Chandler,neutral,neutral,190,0,7,5,"0:21:24,783","0:21:26,702",Ça a l'air bien.
1916,You guys make a,Phoebe,neutral,neutral,190,1,7,5,"0:21:26,702","0:21:29,238",Elle est bien. - Vous faites un très beau couple.
1917,"Yeah, we look great together.",Joey,joy,positive,190,2,7,5,"00:21:32,165","00:21:35,751","Oui, on est super ensemble. - C'est vrai."
1919,Okay.,Chandler,neutral,neutral,190,3,7,5,"00:21:36,253","00:21:37,712",D'accord.
1920,Wow! Imagine what our kids would look like!,Monica,joy,positive,190,4,7,5,"00:21:38,338","00:21:40,464",Imagine nos enfants...
1921,"Y’know, we don’t have to imagine.",Joey,neutral,neutral,190,5,7,5,"00:21:40,632","00:21:42,258",Pourquoi juste imaginer?
1922,I’m marrying her.,Chandler,joy,positive,190,6,7,5,"00:21:44,469","00:21:46,012",C'est moi qui l'épouse.
1923,We’ll just see.,Joey,neutral,neutral,190,7,7,5,"00:21:46,179","00:21:47,888",On verra.
1924,Hey! Hey! Be careful around my Porsche!,Joey,anger,negative,191,0,6,5,"00:21:19,653","00:21:23,489",Attention à ma Porsche !
1925,Hi Joey.,Woman,neutral,neutral,191,1,6,5,"00:21:25,284","00:21:27,451",Je vous en prie.
1926,Hey! How you doin’?,Joey,neutral,neutral,191,2,6,5,"00:21:27,619","00:21:29,245",Comment ca va ? .
1927,He has the most amazing Porsche under there!,Woman,joy,positive,191,3,6,5,"00:21:29,788","00:21:32,373",ll a une Porsche fabuleuse.
1928,"I’d love to show ya, but I just tucked her in.",Joey,neutral,neutral,191,4,6,5,"0:21:32,541","0:21:34,961","J'aimerais vous la montrer, mais elle dort."
1929,She’s sleeping.,Joey,neutral,neutral,191,5,6,5,"0:21:34,961","0:21:35,729",Elle dort.
1930,"Hey uh, would you two girls like to go for a drink?",Joey,neutral,neutral,191,6,6,5,"00:21:37,337","00:21:39,422",Je vous emmène boire un verre ?
1931,"Well, the old lady died.",Ross,sadness,negative,192,0,8,7,"0:21:21,905","0:21:24,387",La vieille dame est morte.
1932,And how do I know?,Ross,neutral,neutral,192,1,8,7,"0:21:24,387","0:21:26,002",Comment le savoir?
1933,Her dying wish was for one last kiss.,Ross,neutral,neutral,192,2,8,7,"00:21:26,118","00:21:29,495",Comment je le sais ? Sa dernière volonté était un baiser.
1934,"But I don’t care,  because you got the apartment.",Ross,joy,positive,192,3,8,7,"0:21:31,832","0:21:35,054","Mais ce n'est pas grave, car tu as l'appartement."
1935,Yes!,Ross,joy,positive,192,4,8,7,"0:21:35,054","0:21:35,801",Je suis là.
1936,Ewww. Yeah. Umm. I think I’m gonna stay here.,Rachel,disgust,negative,192,5,8,7,"00:21:35,919","00:21:41,966",Je vais rester ici.
1937,Isn’t that great?,Joey,joy,positive,192,6,8,7,"00:21:42,134","00:21:44,260",C'est pas super ?
1938,Ezels!!,Ross,disgust,negative,192,7,8,7,"00:21:47,389","00:21:48,973",''Äsels'' !
1939,"Smelly cat, smelly cat, what are they feeding you? Smelly cat, smelly cat, it’s not your fault.",Phoebe,neutral,neutral,193,0,3,14,"00:13:39,193","00:13:52,914","Chat qui pue, chat qui pueQu'as-tu encore mangéChat qui pue, chat qui pueC'est pas ta faute"
1940,"Wow, that’s great.",Leslie,joy,positive,193,1,3,14,"00:13:53,707","00:13:54,999",C'est extra !
1941,"Oh, yeah!",Phoebe,joy,positive,193,2,3,14,"00:13:55,167","00:13:58,169",Je suis désolé.
1942,"Y'know you could totally sell this. It’d be perfect for like umm, a kitty litter campaign.",Leslie,neutral,neutral,193,3,3,14,"00:13:55,167","00:14:02,257",Tu pourrais très bien la vendre !Ce serait parfait pour vanter une litière.
1943,"I..., a jingle? No, no-no-no, no.",Phoebe,neutral,neutral,193,4,3,14,"00:14:03,092","00:14:05,343",Un jingle ? Non.
1944,What? Why not? You could make a ton of money.,Leslie,surprise,negative,193,5,3,14,"00:14:05,511","00:14:07,178",Tu te ferais du fric !
1945,"Okay, well if I was in this for the money, I’d be a millionaire by now, y'know.",Phoebe,neutral,neutral,193,6,3,14,"00:14:07,346","00:14:10,849","Si c'était pour l'argent, je serais déjà millionnaire !"
1946,You just got to get out of that jingle head sweetie.,Phoebe,neutral,neutral,193,7,3,14,"00:14:12,601","00:14:14,978",Enlève-toi ces jingles de la tête !
1949,"Okay sir, um-mm, let see if I got this right.",Rachel,neutral,neutral,195,0,3,5,"00:18:29,691","00:18:31,859","Avant que j'oublie, ce côté n'est pas sec."
1950,"Ah, so this is a half-caf, double tall, easy hazel nut, non-fat, no foam, with whip, extra hot latte, right?",Rachel,neutral,neutral,195,1,3,5,"00:18:35,656","00:18:40,701","Je vous apporte donc...un double mi-déca, mi-café, légèrement noiseté...écrémé, sans mousse, fouetté, super brûlant, avec du lait."
1951,"Okay, great.",Rachel,joy,positive,195,2,3,5,"00:18:40,869","00:18:42,370",Parfait.
1952,You freak.,Rachel,disgust,negative,195,3,3,5,"00:18:42,538","00:18:44,956",Débile !
1953,Thank you.,Ross,joy,positive,195,4,3,5,"0:18:50,712","0:18:53,173",- Je vous remercie.
1954,"Um, coffee to go, please.",Isabella,neutral,neutral,195,5,3,5,"0:18:53,173","0:18:54,252",Un café à emporter.
1955,Isabella Rosselini.,Ross,neutral,neutral,195,6,3,5,"00:18:57,886","00:18:59,387",C'est Isabella Rossellini.
1956,Are you serious?  Oh my God.,Monica,surprise,positive,195,7,3,5,"00:18:59,555","00:19:02,140",Déconne pas ! Mon Dieu !
1957,Damn! I can’t believe I took her off my list.,Ross,anger,negative,195,8,3,5,"00:19:02,307","00:19:05,893",Quel idiot ! Pourquoi je l'ai enlevée de ma liste ?
1958,Why? ‘Cause otherwise you’d go for it?,Monica,neutral,neutral,195,9,3,5,"00:19:06,061","00:19:08,271","Parce que sinon, tu te jetterais à l'eau ?"
1959,"Yeah, maybe.",Ross,neutral,neutral,195,10,3,5,"00:19:10,983","00:19:12,108",Peut-être.
1960,"Oh-oh, you lie.",Rachel,disgust,negative,195,11,3,5,"00:19:12,276","00:19:15,069",Menteur.
1961,What you don’t think I’d go up to her?,Ross,neutral,neutral,195,12,3,5,"00:19:15,237","00:19:17,280",Tu me crois pas capable d'y aller ?
1962,"Ross, it took you ten years to finally admit you liked me.",Rachel,neutral,neutral,195,13,3,5,"00:19:17,447","00:19:21,242",Tu as mis 10 ans à avouer que je te plaisais.
1963,"Yeah, well missy, you better be glad that list is laminated.",Ross,anger,negative,195,14,3,5,"00:19:23,245","00:19:28,749","Ma cocotte, tu as de la chance que ma liste soit plastifiée."
1964,"You know what honey, you go ahead, we’ll call her an alternate.",Rachel,neutral,neutral,195,15,3,5,"00:19:28,917","00:19:33,254","Tu sais quoi, mon trésor ? Vas-y. Elle sera la suppléante."
1965,"Okay, hold my crawler.",Ross,neutral,neutral,195,16,3,5,"0:19:34,131","0:19:36,175",Garde-moi ça.
1966,Okay.,Rachel,neutral,neutral,195,17,3,5,"0:19:36,175","0:19:38,059",Je suis en train de vous dire.
1967,"Rach, are you really gonna let him do this?",Monica,surprise,positive,195,18,3,5,"00:19:38,844","00:19:40,887",Tu le laisses faire ?
1968,"Honey, he’s about to go hit on Isabella Rosselini. I’m just sorry we don’t got popcorn.",Rachel,joy,positive,195,19,3,5,"00:19:41,054","00:19:46,309",Il va draguer Isabella.Je regrette de ne pas avoir de pop-corn.
1969,"Okay, that's, that's enough.",Ross,neutral,neutral,196,0,3,4,"00:21:54,646","00:21:56,397",C'est assez.
1971,Won't you dance around with me.,Ross,neutral,neutral,196,1,3,4,"00:22:04,406","00:22:06,866",Voulez-vous me faire danser ?
1972,A-ha!!!,Monica,surprise,positive,196,2,3,4,"00:22:06,000","00:22:06,866",Je suis désolé.
1981,Good!,Phoebe,neutral,neutral,198,0,6,25,"00:13:09,121","00:13:10,663",C'est loyal.
1982,Pick one.,Rachel,neutral,neutral,198,1,6,25,"00:13:15,085","00:13:16,795",Choisis. - Gauche !
1983,Left!  Thank you.,Phoebe,joy,positive,198,2,6,25,"00:13:15,085","00:13:19,923",Merci. - Je t'en prie.
1984,You’re welcome.,Rachel,neutral,neutral,198,3,6,25,"00:13:17,797","00:13:19,923",Vous êtes les bienvenus.
1985,Ross!,Phoebe,surprise,positive,198,4,6,25,"00:13:22,176","00:13:24,511",Je suis désolé.
1986,Joey!  We should just switch.,Rachel,neutral,neutral,198,5,6,25,"00:13:22,176","00:13:28,807",On échange ? - Absolument.
1987,Yeah absolutely!,Phoebe,joy,positive,198,6,6,25,"00:13:26,806","00:13:28,807","Oui, vraiment!"
1989,"Rachel, we’re sorry for pushing those guys on you.",Phoebe,sadness,negative,199,0,6,19,"00:20:44,618","00:20:47,245",Excuse-nous de t'avoir harcelée.
1990,Oh that’s all right!,Rachel,joy,positive,199,1,6,19,"0:20:47,412","0:20:48,264",C'est pas grave
1991,"Y’know, I ended up having a really good time.",Rachel,joy,positive,199,2,6,19,"0:20:48,264","0:20:50,186",Je me suis bien amusée
1992,"Y’know, the charity was a big success and they raised a lot of money and awareness.",Rachel,joy,positive,199,3,6,19,"00:20:50,290","00:20:54,752",Le bal de charité a bien marché et a rapporté beaucoup d'argent.
1993,So what was it for anyway?,Chandler,neutral,neutral,199,4,6,19,"00:20:54,920","00:20:57,338",C'était pour quoi ?
1994,I wanna say a disease.,Rachel,neutral,neutral,199,5,6,19,"00:20:58,298","00:21:00,466","Une maladie, je crois bien."
1995,Hey!,Joey,surprise,positive,199,6,6,19,"0:21:02,719","0:21:03,281",Je suis là.
1996,Hey!,All,surprise,positive,199,7,6,19,"0:21:03,281","0:21:03,979",Je suis là.
1997,I just got this really weird message from Ross. He said turn on,Joey,neutral,neutral,199,8,6,19,"00:21:04,096","00:21:08,432",J'ai eu un message bizarre de Ross : ''Allume MTV.''
1999,"Oh my God, look! That’s Elizabeth!",Phoebe,surprise,positive,199,9,6,19,"00:21:13,438","00:21:16,607",C'est Elizabeth !
2000,Oh-oh Professor Geller.,Rachel,neutral,neutral,199,10,6,19,"00:21:24,700","00:21:28,244",Professeur Geller !
2001,"Ahh, to be 13 again.",Joey,neutral,neutral,199,11,6,19,"00:21:30,580","00:21:33,040",Avoir 13 ans à nouveau...
2003,"Hey! So uh, was he excited about the tickets?",Ross,neutral,neutral,200,0,6,23,"0:13:44,573","0:13:46,826","Ça lui a plu, les billets ? - ll nous lâche !"
2004,No! He blew us off!,Joey,anger,negative,200,1,6,23,"0:13:46,826","0:13:48,638",Quoi ? - Je te dis pas !
2005,What?!,Ross,surprise,negative,200,2,6,23,"0:13:48,744","0:13:49,166",- Je suis désolé.
2006,I know!,Joey,surprise,negative,200,3,6,23,"0:13:49,166","0:13:50,750","Je sais, c'est vrai."
2007,I can’t believe it.  Can I tell you something? I’m a little mad at him now.,Ross,anger,negative,200,4,6,23,"00:13:50,871","00:13:57,919",Je le crois pas.Je peux te dire un truc ?ll me met un peu la haine.
2008,Can I tell you something? Me too.,Joey,anger,negative,200,5,6,23,"00:13:53,415","00:14:01,339",Je peux te dire un truc ?A moi aussi.
2009,"Y’know what? He didn’t want to talk to us about being angry, well maybe we don’t talk to him",Ross,anger,negative,200,6,6,23,"00:14:06,762","00:14:12,392",ll n'a pas voulu nous dire qu'il était fâché. . .on n'a qu'à ne rien lui dire du tout !
2010,Ooooh! Freeze him out.,Joey,joy,positive,200,7,6,23,"0:14:15,187","0:14:16,522",On sera glacial.
2011,That’s right!,Ross,joy,positive,200,8,6,23,"0:14:16,522","0:14:16,663",C'est vrai!
2012,I like it!,Joey,joy,positive,200,9,6,23,"00:14:16,772","00:14:18,356",Ça me plaît ! - ll va voir !
2013,Doorknob?,Elizabeth,neutral,neutral,201,0,6,19,"00:07:48,718","00:07:50,635",La poignée ? - Oui. On y prend goût.
2014,"Yeah, it kinda grows on you.  Actually, I wanted to finish talking to you about uh, spring vacation.",Ross,neutral,neutral,201,1,6,19,"00:07:56,851","00:07:59,311",Je voulais te parler de tes projets de vacances.
2015,Oh good.,Elizabeth,joy,positive,201,2,6,19,"00:10:08,941","00:10:10,650",- Je suis bien.
2016,"Look, I…  Look, I’m having a great time with you and I just don’t want us to move to fast or put to much pressure on us.",Ross,fear,negative,201,3,6,19,"00:10:12,403","00:10:26,916","J'adore te voir,mais il ne faut pas aller trop vite, ni rendre les choses trop stressantes."
2017,"So, I’m sorry I just don’t think we should go away together yet.",Ross,sadness,negative,201,4,6,19,"00:10:27,084","00:10:30,128",On ne peut pas partir en voyage.
2018,It’s-it’s too soon.,Ross,fear,negative,201,5,6,19,"00:10:30,296","00:10:31,463",C'est trop tôt.
2019,"Ross, I think you misunderstood what I was saying. I just wanted to tell you that I’m going to Florida for a couple weeks.",Elizabeth,surprise,positive,201,6,6,19,"00:10:31,631","00:10:40,263",Tu as mal compris ce que je voulais dire.Je pars en Floride quinze jours.
2020,No. I think you misunderstood what,Ross,surprise,positive,201,7,6,19,"00:10:44,268","00:10:50,482","Tu n'as pas compris ce que moi, je voulais dire."
