Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,greek_text
1498,So what are they doing?,Phoebe,neutral,neutral,153,3,3,6,"0:09:29,402","0:09:30,487",-Τι θα κάνουν; -Δεν ξέρω. Κάτι κοριτσίστικο.
1499,"I don’t know, something girlie.",Ross,joy,positive,153,4,3,6,"0:09:30,487","0:09:32,851","Δεν ξέρω, κάτι κοριτσάκι."
1500,"Hey, you’re early.",Phoebe,neutral,neutral,153,5,3,6,"00:09:36,659","00:09:37,909",Νωρίς ήρθες.
1501,What are you doing with the lamp?,Monica,surprise,positive,153,6,3,6,"00:09:38,160","00:09:40,078",Τι κάνεις με τη λάμπα;
1502,I’m just taking it to be re-wired.,Phoebe,neutral,neutral,153,7,3,6,"00:09:40,580","00:09:51,965",Την πάω για επισκευή.
1503,"Oh, well don’t take it to the same place you took the stereo, ‘cause they’ve had that thing for over a week.",Monica,disgust,negative,153,8,3,6,"00:09:44,333","00:10:00,015",'Οχι εκεί που πήγες το στέρεο. Μια βδομάδα το κρατάνε.
1504,"No, no, Mr. Heckles no one is making any noise up here.",Phoebe,neutral,neutral,153,9,3,6,"00:09:56,512","00:10:00,015","'Οχι, κ. Χεκλς, δεν κάνουμε θόρυβο."
1505,You’re disturbing my oboe practice.,Mr. Heckles,anger,negative,153,10,3,6,"00:10:00,558","00:10:02,934",Μ'ενοχλείτε όταν μελετάω όμποε.
1506,You don’t play the oboe!,Phoebe,anger,negative,153,11,3,6,"0:10:03,311","0:10:04,523",-Δεν παίζετε όμποε. -Θα μπορούσα να παίζ ω.
1507,I could play the oboe!,Mr. Heckles,anger,negative,153,12,3,6,"0:10:04,523","0:10:06,491",Μπορώ να παίξω όμποε!
1508,Ohhh! That is soo sweet!,Rachel,joy,positive,154,0,3,12,"00:13:59,713","00:14:02,799",Είναι τόσο γλυκό!
1509,"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me.",Mark,joy,positive,154,1,3,12,"00:14:03,759","00:14:14,018","Ξέρω ότι είναι ανάρμοστο, αλλά μου είναι τόσο δύσκολο.Σε βλέπω να περνάς και θέλω να σ'αγκαλιάσω, να σ'αγγίξω...'Ελα, δεν είναι κανείς. Φίλησέ με."
1510,"All right that's, that's it!! Get off her!",Ross,anger,negative,154,2,3,12,"0:14:14,186","0:14:16,248",'Αφησέ την!
1511,What is going on?,Mark,surprise,negative,154,3,3,12,"0:14:16,248","0:14:17,920",Τι τρέχει;
1512,What's going on?!  That's what's going on!!,Ross,anger,negative,154,4,3,12,"00:14:18,023","00:14:20,817",Θα σου πω εγώ τι τρέχει!
1513,Ross!,Rachel,surprise,negative,154,5,3,12,"00:14:21,026","00:14:22,861",Ρος!
1514,I have been down in your store for twenty minutes trying to get a tie!,Ross,anger,negative,154,6,3,12,"00:14:27,408","00:14:31,953",Είμαι στο μαγαζί σας 20 λεπτά και θέλω μια γραβάτα!
1515,What do I have to do to get some service?!,Ross,anger,negative,154,7,3,12,"00:14:34,081","00:14:36,791",Τι πρέπει να κάνω για να μ'εξυπηρετήσουν;
1516,Hi Rach.,Ross,neutral,neutral,154,8,3,12,"00:14:38,711","00:14:40,420","Γειά σου, Ρέιτς."
1517,Ross?,Mona,neutral,neutral,155,0,8,5,"0:20:39,238","0:20:39,781",- Ρος;
1518,Yeah?,Ross,neutral,neutral,155,1,8,5,"0:20:39,781","0:20:40,456","- Ναι, ναι."
1519,Hey it’s Mona! From the wedding.,Mona,joy,positive,155,2,8,5,"00:20:40,572","00:20:43,074",Είμαι η Μόνα. Από το γάμο.
1520,Oh hi!,Ross,joy,positive,155,3,8,5,"0:20:43,242","0:20:44,953",- Γεια σου.
1521,Hi!,Mona,joy,positive,155,4,8,5,"0:20:44,953","0:20:45,907",Γεια σου!
1522,Wow! Uh…how are you?,Ross,surprise,positive,155,5,8,5,"00:20:47,371","00:20:49,497",Πώς είσαι;
1523,"I’m good except umm, you still owe me a dance.",Mona,neutral,neutral,155,6,8,5,"00:20:49,665","00:20:56,170",-Τι κάνεις; -Καλά. Μου χρωστάς ένα χορό.
1524,"Oh that’s right. Well uh, would you be interested in seeing a Ukrainian film?",Ross,joy,positive,155,7,8,5,"00:20:51,458","00:20:56,170",Σ' ενδιαφέρει να δεις μια ουκρανική ταινία;
1525,Oh you’re serious. Sure!,Mona,surprise,positive,155,8,8,5,"00:20:58,465","00:21:00,383",Σοβαρολογείς! Βέβαια.
1526,Great! Well umm,Ross,joy,positive,155,9,8,5,"00:21:01,885","00:21:04,178",Ωραία!
1527,I think I might need one more cup of coffee.,Mona,neutral,neutral,155,10,8,5,"00:21:05,180","00:21:07,390",-Θα χρειαστώ άλλο ένα φλυτζάνι καφέ. -Θα σου φέρω.
1528,"Sure! Uh, let me get it for ya.",Ross,neutral,neutral,155,11,8,5,"0:21:07,557","0:21:09,101",- Θα σου το φέρω εγώ.
1529,Okay.,Mona,neutral,neutral,155,12,8,5,"0:21:09,101","0:21:10,791","- Εντάξει, εντάξει."
1530,"Look, I feel really bad about how I freaked you out before, so I called the father and asked him to meet you here so you can tell him.",Phoebe,sadness,negative,156,0,8,2,"00:13:49,662","00:13:56,960",Νιώθω άσχημα που σε αναστάτωσα προηγουμένως.Γι' αυτό πήρα τον πατέρα και του είπα να έρθει εδώ.
1531,Go!,Phoebe,anger,negative,156,1,8,2,"00:13:53,916","00:13:56,960",- Πηγαίνετε!
1532,"What? Hey wait a minute! Phoebe, how do you even know who the father is?",Rachel,surprise,negative,156,2,8,2,"00:13:57,169","00:14:01,172","Φοίβη, πώς ξέρεις ποιος είναι ο πατέρας;"
1533,"I may play the fool at times, but I’m a little more than a pretty blond girl with an ass that won’t quit.",Phoebe,anger,negative,156,3,8,2,"00:14:01,382","00:14:09,430","Μπορεί να κάνω τη χαζή μερικές φορές, αλλά......είμαι κάτι παραπάνω από μια ξανθιά με ωραίο κώλο."
1534,I believe this belongs to the father of your baby.,Phoebe,neutral,neutral,156,4,8,2,"00:14:11,100","00:14:14,602",Νομίζω ότι αυτό ανήκει στον πατέρα τού μωρού σου.
1535,"Oh God… Oh, he’s in there right now?",Rachel,surprise,negative,156,5,8,2,"00:14:14,770","00:14:19,816",Είναι μέσα τώρα;
1536,Uh-huh. Now you can turn around or you can go in there and rip the Band-Aid off. What to you want to do?,Phoebe,neutral,neutral,156,6,8,2,"00:14:20,109","00:14:25,947",Μπορείς να φύγεις ή να μπεις και να τραβήξεις το τσιρότο.
1537,"Uh, let’s rip!",Rachel,fear,negative,156,7,8,2,"0:14:27,992","0:14:28,743",-Πάμε να το τραβήξουμε. -Είσαι σίγουρη;
1538,Really? Are you sure?,Phoebe,surprise,negative,156,8,8,2,"0:14:28,743","0:14:29,698",- Είσαι σίγουρος;
1539,Oh Phoebe!,Rachel,joy,positive,156,9,8,2,"0:14:29,785","0:14:30,427",Φοίβη!
1540,"Okay, sorry. Yeah.",Phoebe,neutral,neutral,156,10,8,2,"0:14:30,427","0:14:32,218","Εντάξει, συγνώμη."
1541,Hey Rach.,Tag,neutral,neutral,156,11,8,2,"00:14:34,999","00:14:36,624",Γεια σου Ραχ.
1542,"Hey, thank you so much for these tickets, Chandler.",Phoebe,joy,positive,157,0,9,20,"00:23:25,600","00:23:28,478","Ευχαριστούμε πολύ για τα εισιτήρια, Τσάντλερ."
1543,"Oh well, this was a really important experience for me, and    I wanted to share it with you.",Chandler,joy,positive,157,1,9,20,"00:23:28,645","00:23:33,024",'Ηταν σημαντική εμπειρία για μένα. 'Ηθελα να τη μοιραστώ μαζί σας.
1544,"Oh, you're so wonderful.",Monica,joy,positive,157,2,9,20,"00:23:33,191","00:23:34,985",Είσαι υπέροχος.
1548,"It can’t be me, I’m standing right here.",Joey,neutral,neutral,158,1,9,1,"00:07:23,359","00:07:26,069",Εγώ αποκλείεται! Εδώ είμαι!
1549,Wanna peek?,Mr. Geller,neutral,neutral,158,2,9,1,"0:07:27,530","0:07:28,114",-Θέλετε να κρυφοκοιτάξετε; -Οχι!
1550,No!,Ross,disgust,negative,158,3,9,1,"0:07:28,114","0:07:29,015","- Όχι, όχι!"
1551,Come on!,Mr. Geller,surprise,positive,158,4,9,1,"00:07:29,115","00:07:30,198",- Έλα τώρα!
1553,We’re not peeking?,Joey,sadness,negative,158,6,9,1,"00:07:37,206","00:07:39,541",Δεν θα κρυφοκοιτάξουμε;
1554,Well I’m peeking.  Oh my God!,Mr. Geller,surprise,negative,158,7,9,1,"00:07:41,627","00:07:46,965","Εγώ πάντως, θα κρυφοκοιτάξω.Θεούλη μου!"
1555,"Hello sir, you know Monica.",Chandler,neutral,neutral,158,8,9,1,"00:07:48,009","00:07:52,095",Γεια σας. Την Μόνικα την ξέρετε...
1556,Chandler is fantastic!!,Joanna,joy,positive,159,0,3,20,"00:09:36,284","00:09:38,660",Ο Τσάντλερ είναι φανταστικός!
1557,What?!,Rachel,surprise,positive,159,1,3,20,"0:09:39,453","0:09:41,122",Τι;
1559,Y’know how people just click?,Joanna,joy,positive,159,2,3,20,"0:09:41,122","0:09:41,903",Ταιριάξαμε αμέσως.
1560,"Like he came by to pick me up, and I opened the door, and it was just like, click!",Joanna,joy,positive,159,3,3,20,"00:09:41,998","00:09:46,293","'Οταν ήρθε και άνοιξα την πόρτα, λες και κάναμε κλικ."
1561,Did he tell you?,Joanna,surprise,positive,159,4,3,20,"00:09:46,460","00:09:47,961",Στο είπε;
1563,"Oh, and he’s got such a good heart! Doesn’t he have a good heart?",Joanna,joy,positive,159,5,3,20,"00:09:48,170","00:09:50,922",Κι έχει τόσο καλή καρδιά. Δεν έχει;
1564,"Oh, I know...",Rachel,joy,positive,159,6,3,20,"00:09:51,090","00:09:52,674",- Το ξέρω.
1565,"Oh, I know and he’s soo sweet! Listen, he said he was going to call, so put him straight through.",Joanna,joy,positive,159,7,3,20,"00:09:51,090","00:09:55,010","Είναι τόσο γλυκός! Θα τηλεφω- νήσει, δώσ'τον μου αμέσως."
1566,Isn’t this great?!,Sophie,joy,positive,159,8,3,20,"0:09:55,177","0:09:56,512",-Δεν είναι υπέροχο; -Μη μου το χαλάς.
1567,Don’t spoil it.,Joanna,neutral,neutral,159,9,3,20,"0:09:56,512","0:09:58,317",Μην το χαλάσεις.
1568,Hi.,Ross,neutral,neutral,160,0,3,14,"0:05:29,162","0:05:29,714",- Γεια σου.
1569,"Hi, sweetie!",Rachel,joy,positive,160,1,3,14,"0:05:29,714","0:05:30,891","Γεια σου, γλυκιά μου!"
1570,Hello.,Ross,neutral,neutral,160,2,3,14,"00:05:30,997","00:05:32,956",Γειά σου.
1571,"Hi, Ross.",Mark,neutral,neutral,160,3,3,14,"00:05:33,124","00:05:34,374","Γεια σου, Ρος."
1572,"Yeah, huh.",Ross,neutral,neutral,160,4,3,14,"00:05:34,542","00:05:35,959","Ναι, ναι."
1573,I?ve got some bad news.,Rachel,sadness,negative,160,5,3,14,"0:05:37,295","0:05:38,922",'Εχω άσχημα νέα.
1574,What?,Ross,fear,negative,160,6,3,14,"0:05:38,922","0:05:39,530",- Τι; - Τι;
1575,"I can get a quick bite to eat, but then I have to come back up here.",Rachel,neutral,neutral,160,7,3,14,"00:05:39,630","00:05:41,965","Μπορώ να φάω στα γρήγορα, αλλά πρέπει να γυρίσω."
1576,"Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time?",Ross,sadness,negative,160,8,3,14,"00:05:42,133","00:05:48,305","Έλα γλυκιά μου, έπρεπε να δουλεύεις αργά κάθε βράδυ τις τελευταίες δύο εβδομάδες, τι είναι αυτή τη φορά;"
1578,"But work comes first!  Oh hey, but that?s sad about you though, what happened? Burn out? Burn all out, did ya?",Ross,joy,positive,160,10,3,14,"00:05:48,473","00:05:57,689","Η δουλειά προηγείται!Αλλά, λυπάμαι για σένα. Τι έγινε;Εξαντλήθηκες;"
1579,"Nooo, he?s leaving for a better job.",Rachel,neutral,neutral,160,11,3,14,"00:05:59,609","00:06:01,735",Βρήκε καλύτερη δουλειά.
1580,"Oh well that?s great, so I guess this is ah, this is good bye then. Huh?  Good bye.",Ross,joy,positive,160,12,3,14,"00:06:01,903","00:06:06,740",'Ωστε πρέπει να πούμε αντίο.
1581,"Okay, then.",Mark,neutral,neutral,160,13,3,14,"0:06:08,910","0:06:09,542",Αντίο.
1582,Okay.,Ross,neutral,neutral,160,14,3,14,"0:06:09,542","0:06:10,746","- Εντάξει, εντάξει."
1583,Well we?re gonna miss you around here.,Rachel,sadness,negative,160,15,3,14,"00:06:10,870","00:06:12,996",Θα μας λείψεις.
1584,"Yeah, me too.",Mark,sadness,negative,160,16,3,14,"00:06:13,456","00:06:15,207",Κι εσείς εμένα.
1585,"So, see ya on Saturday.",Mark,neutral,neutral,160,17,3,14,"0:06:17,502","0:06:19,004",Θα σε δω το Σάββατο.
1586,"Yeah, you bet.",Rachel,neutral,neutral,160,18,3,14,"0:06:19,004","0:06:20,682","Ναι, σίγουρα."
1607,Whazzup??,Ross,neutral,neutral,161,0,9,12,"00:09:19,141","00:09:21,142",Πώς πάει;
1608,"Seriously dude, 3 years ago.",Chandler,joy,positive,161,1,9,12,"00:09:22,353","00:09:24,479",Σοβαρά τώρα. Πάνε τρία χρόνια που σταματήσαμε να το λέμε αυτό.
1609,"Listen, can you do me a favor?",Ross,neutral,neutral,161,2,9,12,"0:09:26,315","0:09:28,026",Μου κάνεις μια χάρη; Θα λείπω όλη μέρα
1610,I'm gonna be out today.,Ross,neutral,neutral,161,3,9,12,"0:09:28,026","0:09:29,343",Θα προσέχεις τον Τζόι;
1611,"Can you    just keep an eye on Joey, make sure nothing happens between him and Molly?",Ross,neutral,neutral,161,4,9,12,"00:09:29,485","00:09:33,613",Θα φροντίσεις να μην κάνει τίποτα με την Μόλι;
1612,You don't trust him?,Chandler,surprise,positive,161,5,9,12,"00:09:33,823","00:09:35,949",-Δεν τον εμπιστεύεσαι; -Οχι.
1589,"Monica face it, Chandler is against marriage. And-and always will be!",Joey,neutral,neutral,163,0,6,25,"00:06:45,321","00:06:48,323",Δέξου το. Ο Τσάντλερ είναι και θα είναι κατά του γάμου.
1590,Well there’s some people who do want to marry me.,Monica,anger,negative,163,1,6,25,"00:06:51,786","00:06:54,538",Υπάρχει κάποιος που θέλει να με παντρευτεί.
1591,There are?,Joey,surprise,positive,163,2,6,25,"0:06:54,747","0:06:55,373",-Αλήθεια; -Ο Ρίτσαρντ.
1592,Yeah! Richard!,Monica,anger,negative,163,3,6,25,"0:06:55,373","0:06:57,269","Ναι, Ρίτσαρντ!"
1593,R-R-Richard said he wants to marry you?!  And-and Chandler’s tellin’ ya how much he hates marriage?!,Joey,surprise,negative,163,4,6,25,"00:06:57,625","00:06:59,584",Θέλει να σε παντρευτεί;-Κι ο Τσάντλερ λέει ότι μισεί τον γάμο; -Ακριβώς.
1594,That’s right.,Monica,neutral,neutral,163,5,6,25,"0:07:01,337","0:07:04,149","- Ναι, σωστά."
1595,Chandler,Joey,neutral,neutral,163,6,6,25,"0:07:04,149","0:07:04,346",Ο Τσάντλερ λατρεύει τον γάμο.
1596,You just told me that he hates marriage!,Monica,surprise,negative,163,7,6,25,"00:07:09,429","00:07:11,555",Εσύ είπες ότι τον μισεί
1597,That-that he’s a-a complex fellow who’s unlikely to take a wife!,Monica,anger,negative,163,8,6,25,"00:07:11,806","00:07:15,308",ότι είναι περίπλοκος χαρακτήρας...
1598,That-that he’s against marriage and always will be!,Monica,anger,negative,163,9,6,25,"00:07:15,560","00:07:18,103",...και δεν τον βλέπεις να παντρεύεται. Οτι είναι και θα είναι κατά του γάμου.
1599,You got,Joey,neutral,neutral,163,10,6,25,"00:07:18,563","00:07:20,730",Αυτό κατάλαβες;
1600,"You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",Ross,fear,negative,164,0,1,1,"00:20:43,492","00:20:49,080","'Ισως δεν το ήξερες, αλλά στο Λύκειο......ήμουν πολύ τσιμπημένος μαζί σου."
1601,I knew.,Rachel,neutral,neutral,164,1,1,1,"00:20:50,540","00:20:51,707",Το ήξερα.
1602,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,Ross,surprise,positive,164,2,1,1,"00:20:52,084","00:20:58,138",Το 'ξερες;Δε με θεωρούσες ως σπασίκλα αδελφό της Μόνικα;
1603,I did.,Rachel,neutral,neutral,164,3,1,1,"0:20:58,882","0:20:59,684",Ναι.
1604,Oh.,Ross,sadness,negative,164,4,1,1,"0:20:59,684","0:21:00,931",- Δεν ξέρω.
1605,"Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here—but do you think it would be okay if I asked you out?",Ross,fear,negative,164,5,1,1,"00:21:05,514","00:21:16,983",Νομίζεις ότι...Και μη σ'επηρεάσει το ότι είμαι πολύ ευάλωτος...Μπορώ να σου ζητήσω να βγούμε κάποτε;
1606,Sometime?,Ross,neutral,neutral,164,6,1,1,"0:21:13,105","0:21:15,817",- Κάποια στιγμή;
1607,Maybe?,Ross,neutral,neutral,164,7,1,1,"0:21:15,817","0:21:17,031",- Ίσως; - Ναι.
1608,"Yeah, maybe...",Rachel,joy,positive,164,8,1,1,"00:21:18,235","00:21:21,821","Ναι, ίσως."
1609,"Okay... okay, maybe I will...",Ross,joy,positive,164,9,1,1,"00:21:20,529","00:21:31,872",'Ισως στο ζητήσω.
1611,"Well, I just thought it’d make me feel good to do something nice for my friend.",Chandler,neutral,neutral,165,0,4,7,"00:14:12,852","00:14:16,531",<i>'</i>Ηθελα να κάνω κάτι ωραίο για τον φίλο μου.
1612,"Well, you’re amazing.",Joey,joy,positive,165,1,4,7,"00:14:16,730","00:14:18,106",Είσαι καταπληκτικός.
1613,Oh no-no-no.,Chandler,neutral,neutral,165,2,4,7,"00:14:18,566","00:14:21,651","<i>'</i>Οχι, αυτό είναι καταπληκτικό."
1614,"A TV as if it appears from nowhere! That’s the dream! Man, how did you afford this stuff?",Joey,surprise,positive,165,3,4,7,"00:14:24,196","00:14:31,953",Τηλεόραση απ' το πουθενά!Το όνειρο!Που βρήκες τα λεφτά;
1615,"Well, y’know I’m 29. I mean who needs a savings account.",Chandler,neutral,neutral,165,4,4,7,"00:14:32,162","00:14:35,206",Είμαι 29. Δε χρειάζομαι τραπεζικό λογαριασμό;
1616,"Oh, you are the best friends anyone has ever had.",Joey,joy,positive,165,5,4,7,"00:14:35,624","00:14:38,167",Είσαι ο καλύτερος φίλος του κόσμου.
1617,"Oh, I don’t know.",Chandler,fear,negative,165,6,4,7,"00:14:38,961","00:14:41,045",Δε ξέρω.
1618,"Oh-no-no-no, you are!",Joey,joy,positive,165,7,4,7,"00:14:41,255","00:14:42,463","<i>'</i>Οχι, είσαι."
1619,"You do this, you give me the great advice, and hey listen, I was thinking about what you said yesterday about focusing on one woman, I’m gonna do that.",Joey,joy,positive,165,8,4,7,"00:14:42,673","00:14:50,513","Κάνεις αυτό, μου δίνεις συμβουλές...Αυτό που 'πες να εστιάσω σε μια γυναίκα;Θα το κάνω."
1620,You mean with Casey.,Chandler,neutral,neutral,165,9,4,7,"00:14:50,931","00:14:51,671",Με την Κέιση;
1621,"No-no-no, I think I’m gonna see how things go with Kathy. She’s pretty cool.",Joey,neutral,neutral,165,10,4,7,"00:14:52,141","00:14:55,518","Θα δω τι θα γίνει με την Κάθι. Είναι φοβερή.<i>-'</i>Η την Κέιση. <i>-'</i>Οχι, την Κάθι."
1622,Or Casey.,Chandler,neutral,neutral,165,11,4,7,"0:14:55,895","0:14:56,527",<i>'</i>Ισως η Κέιση.
1623,"No-no, Kathy.",Joey,neutral,neutral,165,12,4,7,"0:14:56,527","0:14:58,200","<i>'</i>Οχι, Κάθι."
1624,Could be Casey.,Chandler,neutral,neutral,165,13,4,7,"00:14:58,314","00:14:59,314",Μπορεί να είναι ο Κέισι.
1625,"No. No, Kathy.",Joey,neutral,neutral,165,14,4,7,"00:14:59,523","00:15:00,607","Όχι, Κάθι."
1626,Consider Casey.,Chandler,neutral,neutral,165,15,4,7,"00:15:00,774","00:15:01,774",Σκέψου την Κέιση.
1628,I think somebody’s got a little crush on Casey.,Joey,joy,positive,165,16,4,7,"00:15:03,569","00:15:07,030",Μάλλον σε κάποιον αρέσει η Κέιση.
1629,How ‘bout I fix you two up?,Joey,joy,positive,165,17,4,7,"0:15:07,323","0:15:08,375",Θα σας βολέψω εσάς τους δυο. Τι λες;
1630,What do you think?,Joey,joy,positive,165,18,4,7,"0:15:08,375","0:15:10,097",- Τι λες; - Τι;
1631,That all the pieces of my life are falling right into place!,Chandler,joy,positive,165,19,4,7,"00:15:10,326","00:15:14,621",<i>'</i>Οτι όλα τα κομμάτια της ζωής μου μπαίνουν στη θέση τους.
1632,"Hey, anybody got a length of rope about six feet long with a little nouse at the end?",Chandler,neutral,neutral,166,0,3,11,"00:02:36,156","00:02:40,242",'Εχει κανείς δυο μέτρα σκοινί με μια θηλιά στην άκρη;
1633,"Honey, what’s the matter?",Monica,neutral,neutral,166,1,3,11,"0:02:41,451","0:02:42,293",-Τι τρέχει; -Μόλις είδα την Τζ άνις.
1634,I just saw Janice.,Chandler,neutral,neutral,166,2,3,11,"0:02:42,293","0:02:42,433",Μόλις είδα την Τζάνις.
1635,"‘Cause every time I see your face, I can’t help but fall from grace. I know.....",Singer,joy,positive,167,0,3,14,"00:00:10,135","00:00:18,100","Γιατί κάθε φορά που βλέπω το πρόσωπό σου, δεν μπορώ να μην πέσω από την χάρη."
1636,Wow! This girl is good.,Joey,surprise,positive,167,1,3,14,"00:00:18,268","00:00:19,852",Είναι καλή!
1637,"Oh-ho yeah! A song with rhyming words. Oo, I never thought of that before.",Phoebe,anger,negative,167,2,3,14,"00:00:20,020","00:00:23,856",Τραγούδι με ομοιοκαταληξία. Δεν το'χα σκεφτεί ποτέ.
1638,I like her.,Chandler,neutral,neutral,167,3,3,14,"00:00:26,192","00:00:27,234",Μ'αρέσει.
1639,Why? Because she can sing and play guitar and do both at the same time?,Phoebe,neutral,neutral,167,4,3,14,"00:00:27,402","00:00:31,655","Επειδή τραγουδάει και παίζει κιθάρα, συγχρόνως;"
1640,"Well, that’s pretty much all I’m looking for from these people.",Chandler,neutral,neutral,167,5,3,14,"00:00:32,741","00:00:35,492",Αυτό μού αρκεί σε τέτοιους ανθρώπους.
1641,Look at you. All jealous.,Monica,anger,negative,167,6,3,14,"00:00:36,369","00:00:38,412",Ζηλεύεις;
1642,"Yeah Pheebs, come on, you two have completely different styles. Y'know, she’s more.. y'know, and you’re more",Ross,neutral,neutral,167,7,3,14,"00:00:38,580","00:00:47,880",Μα έχετε διαφορετικό στυλ.Αυτή είναι πιο... ξέρεις.Κι εσύ είσαι πιο...
1643,Say you'll stay beside me,Joey,sadness,negative,167,8,3,14,"00:00:49,247","00:00:52,801",Πες ότι θα μείνεις δίπλα μου.
1644,"Okay, see, see, everyone else is happy she’s done.",Phoebe,anger,negative,167,9,3,14,"00:00:57,807","00:01:01,018",Βλέπετε; 'Ολοι χαίρονται που τελείωσε.
1645,"Okay, my next song’s called: Phoebe Buffay, What Can I Say.",Singer,neutral,neutral,167,10,3,14,"00:01:02,979","00:01:08,692","Το επόμενο τραγούδι λέγεται:Φοίβη, τι μπορώ να πω; Μ'άρεσε που ήμαστε..."
1646,"I Really Loved When We Were Singing Partners, And I Shouldn’t Have Left You That Way.",Singer,neutral,neutral,167,11,3,14,"00:01:05,815","00:01:12,321","...ντουέτο, δεν έπρεπε να σε παρατήσω.''"
1647,"Oh no, one of those ‘look for the hidden meaning’ songs.",Phoebe,neutral,neutral,167,12,3,14,"00:01:14,657","00:01:18,387",Τραγούδι με υπονοούμενα!
1664,Come on!,Ross,joy,positive,169,0,6,15,"00:03:40,762","00:03:42,262",- Έλα τώρα!
1665,"Oh wait, don’t you have to pay for your,  Busty Ladies?",Rachel,joy,positive,169,1,6,15,"00:03:42,430","00:03:46,350","Δεν θα πληρώσεις......το ""Βυζούδες Κυρίες"";"
1666,"No, it’s okay. Some-some kid asked me to pick it up for him, but I don’t",Ross,neutral,neutral,169,2,6,15,"00:03:48,853","00:03:53,315",Δεν πειράζει. Ενας μικρός μου ζήτησε να του το αγοράσω.
1671,Oh my God!!! What are you doing?!!,Monica,surprise,negative,170,0,3,6,"00:12:38,674","00:12:41,843",Θεέ μου! Τι διάβολο κάνεις;
1672,"You said, you wanna come in for some lemonade?",Joey,neutral,neutral,170,1,3,6,"00:12:42,136","00:12:44,846",Είπες ''θέλεις να'ρθεις μέσα για λίγη λεμονάδα;''
1673,So?!,Monica,disgust,negative,170,2,3,6,"00:12:45,055","00:12:46,347",- Έτσι;
1674,"Whoa, ah!! We’re you just gonna give me some lemonade?",Joey,surprise,negative,170,3,3,6,"00:12:47,892","00:12:51,269",Και θα μου'δινες μόνο λεμονάδα;
1675,Yeah huh!! Cover yourself up!,Monica,disgust,negative,170,4,3,6,"00:12:51,937","00:12:53,021",Σκεπάσου!
1676,"Oh right, right.",Joey,neutral,neutral,170,5,3,6,"00:12:53,522","00:12:54,731","- Ναι, ναι."
1677,"I don’t believe this! When someone asks you in for lemonade, and to you that means they wanna have sex?",Monica,disgust,negative,170,6,3,6,"00:12:54,982","00:13:00,528","Δεν το πιστεύω!'Οταν σε καλούν για λεμονάδα, εσύ καταλαβαίνεις σεξ;"
1678,Well usually...yeah!,Joey,surprise,positive,170,7,3,6,"00:13:00,696","00:13:03,656",Συνήθως... ναι!
1679,"Well, not just lemonade, iced tea, sometimes juice.",Joey,neutral,neutral,170,8,3,6,"00:13:03,866","00:13:06,034","Συνήθως ναι. Δηλαδή όχι μόνο λεμονάδα.Παγωμένο τσάι, χυμό..."
1680,"Well, sorry, I just, I thought you liked me.",Joey,neutral,neutral,170,9,3,6,"00:13:07,870","00:13:12,040",Συγνώμη......νόμιζ α ότι σου άρεσα.
1681,I’m such a jerk.,Joey,sadness,negative,170,10,3,6,"00:13:12,249","00:13:14,083",Είμαι κόπανος!
1682,"It’s okay. I suppose it could happen to anyone, not anyone I know, but... By the way I can still see it.",Monica,neutral,neutral,170,11,3,6,"00:13:16,337","00:13:23,009","Δεν πειράζει......μπορεί να συμβεί στον καθένα.'Οχι κανέναν που ξέρω, αλλά...Ακόμα φαίνεται."
1683,Hmmm... this is so nice.,Rachel,joy,positive,171,0,1,7,"00:12:24,452","00:12:26,244",Είναι τόσο όμορφα!
1684,"OK, I have a question. Well, actually, it's not so much a question as.. more of a general wondering... ment.",Ross,neutral,neutral,171,1,1,7,"00:12:30,875","00:12:42,093",Έχω μια ερώτηση.Όχι ακριβώς ερώτησημάλλον γενική απορία.
1685,OK.,Rachel,neutral,neutral,171,2,1,7,"00:12:42,928","00:12:44,721","- Εντάξει, εντάξει."
1686,"OK. Here goes. For a while now, I've been wanting to, um....",Ross,neutral,neutral,171,3,1,7,"00:12:45,306","00:12:53,354","’κου.Εδώ και καιρό, θέλω να..."
1687,Ohhh!!!!,Rachel,surprise,positive,171,4,1,7,"0:12:53,731","0:12:55,253",Ωχχχχχχχχ
1688,"Yes, yes, that's right...",Ross,neutral,neutral,171,5,1,7,"0:12:55,253","0:12:56,249","Ναι, ακριβώς."
1689,"Oh, look at the little cat!",Rachel,surprise,positive,171,6,1,7,"00:12:56,400","00:12:58,735",Κοίτα το γατάκι!
1690,What?  Ow!,Ross,surprise,negative,171,7,1,7,"00:12:58,986","00:13:02,113",Τι;
1691,"Well, I was probably going to do it at some point.",David,neutral,neutral,172,0,9,23,"00:06:16,125","00:06:18,585",Κάποια στιγμή θα το έκανα.
1692,I didn't mean,Chandler,neutral,neutral,172,1,9,23,"0:06:18,753","0:06:19,635","-'Οχι, δεν εννοώ τώρα. -Γιατί; Είναι θαυμάσια ιδέα."
