Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime,spanish_text
1332,"So to sum up, I’m Professor Geller.",Ross,neutral,neutral,136,5,8,12,"0:06:43,444","0:06:47,532","Resumiendo, soy el profesor Geller. Buen día a todos."
1334,"Good evening, sir.",Ross,neutral,neutral,137,0,5,14,"0:13:35,397","0:13:36,399",Buenas noches
1335,My name is Ross Geller.,Ross,neutral,neutral,137,1,5,14,"0:13:36,399","0:13:37,403",señor. Me llamo Ross Geller.
1336,I'm one of the people who applied for the apartment.,Ross,neutral,neutral,137,2,5,14,"00:13:37,525","00:13:39,734",Soy una de las personas que ha solicitado su apartamento.
1337,And I-I realize that the competition is fierce but—I'm sorry.,Ross,neutral,neutral,137,3,5,14,"00:13:39,902","00:13:51,663",Y me doy cuenta de que la competencia es muy grande.
1338,"I, I can't help but notice you're naked and  I applaud you.",Ross,joy,positive,137,4,5,14,"00:13:54,625","00:13:56,251",Pero ....Lo siento. No puedo dejar de fijarme en que está desnudo y .....Y lo aplaudo.
1339,"Man, I wish I was naked.",Ross,neutral,neutral,137,5,5,14,"00:13:56,502","00:13:59,379",Dios! Ojalá yo estuviera desnudo.
1340,"I mean, this-this looks so great.",Ross,joy,positive,137,6,5,14,"00:13:59,630","00:14:03,049",Quiero decir que se ve muy bien.
1341,That is how God intended it.,Ross,neutral,neutral,137,7,5,14,"00:14:03,425","00:14:06,052",Asi es como Dios nos trajo al mundo.
1342,"Okay, I have to tell you something that I have never admitted during our entire friendship!",Rachel,anger,negative,138,0,5,12,"00:11:52,795","00:11:55,964",Tengo que contarte algo que nunca he reconocido desde que nos conocemos.
1343,"But, when we were in high school I made out with James Farrell even when I knew that you liked him!",Rachel,anger,negative,138,1,5,12,"00:11:56,132","00:12:00,343",Cuando estábamos en la secundaria lo hice con James Farrell aunque sabía que a ti te gustaba.
1344,"Wow, that feels so good to get off my chest!",Rachel,joy,positive,138,2,5,12,"0:12:00,511","0:12:02,388",Vaya
1345,"Okay, you go!",Rachel,anger,negative,138,3,5,12,"0:12:02,388","0:12:03,876",me alegro de habértelo confesado. Ok ahora tú!.
1346,My turn? What-what are you talking about?,Monica,surprise,positive,138,4,5,12,"00:12:05,349","00:12:07,892",Mi turno? De que estas hablando?.
1347,"Ugh, Monica, I know about you and Chandler.",Rachel,disgust,negative,138,5,5,12,"00:12:08,102","00:12:12,313","Monica, sé lo tuyo con Chandler."
1348,What?!,Monica,surprise,negative,138,6,5,12,"00:12:13,441","00:12:14,482",Qué!?.
1349,"I overheard you guys on the phone the other day, and you said, ""I'll just tell Rachel that I'm doing laundry for a couple of hours.""",Rachel,neutral,neutral,138,7,5,12,"00:12:14,650","00:12:21,531","El otro día los oí hablando por teléfono, y tú dijiste:""Le diré a Rachel que estaré un par de horas lavando ropa""."
1350,"And he said, ""Laundry?",Rachel,neutral,neutral,138,8,5,12,"0:12:21,741","0:12:23,410","Y él dijo: ""Lavando, ese es mi nuevo nombre?""."
1351,Is,Rachel,neutral,neutral,138,9,5,12,"0:12:23,410","0:12:24,852","Y tú dijiste: ""No, ya sabes cual es tu nuevo nombre, señor grande...."""
1352,Well. Sounds like you're writing yourself a little play there Rach. Wow! Let me know how that one turns out.,Monica,joy,positive,138,10,5,12,"00:12:36,756","00:12:44,304","Vaya, eso parece una teleserie, Rach...."
1353,"Well, I wouldn't know because I got so freaked out that I hung up the phone.",Rachel,anger,negative,138,11,5,12,"00:12:44,472","00:12:51,603","No lo sé, porque me quedé tan asustada que colgué el teléfono."
1354,"Well, if you had kept listening, you-you would have heard me call him Mr. Big……ot.",Monica,neutral,neutral,138,12,5,12,"00:12:49,143","00:12:57,650","Si hubieses seguido escuchando,...me habrías oído llamarlo Señor ......Señor Super."
1355,What?!,Rachel,surprise,negative,138,13,5,12,"00:12:55,733","00:12:57,650",Que?.
1356,Mr. Bigot. He tells the most,Monica,neutral,neutral,138,14,5,12,"00:12:57,818","00:13:04,574",Sr Super!.Porque cuenta unos chistes súper racistas.
1357,All right. So you're telling me that there is nothing going on between you and Chandler.,Rachel,anger,negative,138,15,5,12,"00:13:08,329","00:13:11,956",Eso es todo? Me estás diciendo que no hay nada entre Chandler y tú?.
1358,Me and Chandler?!,Monica,surprise,positive,138,16,5,12,"00:13:12,291","00:13:14,167",Chandler y yo?!.
1359,"I really thought you making a good point. I mean y'know, until you got cut off.",Phoebe,neutral,neutral,139,0,5,9,"00:21:37,504","00:21:41,674","Bueno, ese es un buen punto. Quiero decir, lo entendiste bien."
1360,"Yeah, what's up with that girl Monica?",A Female Student,neutral,neutral,139,1,5,9,"00:21:42,426","00:21:44,385","Sí, y que le pasa a esa chica, Monica?."
1361,I don't know! I didn't come with her!,Phoebe,anger,negative,139,2,5,9,"00:21:44,636","00:21:46,470",No lo sé. Yo no vine con ella.
1362,All right everybody! Everybody guess what? I just convinced Paul to give us a test next week!,Monica,joy,positive,139,3,5,9,"00:21:48,557","00:21:54,854","Adivinen que?. Adivinen que?.Convenci a Paul, para que nos hiciera un test la proxima semana."
1363,A test?!!,All,surprise,negative,139,4,5,9,"00:21:53,770","00:21:54,854",Un test!!!.
1364,Come on! Tests make us all better learners! Oh yeah!  We should have essay questions!!,Monica,joy,positive,139,5,5,9,"00:21:55,105","00:22:02,778","Vamos, los test los convierte en mejores estudiantes!."
1368,"Okay, I hear you loud and clear. Bob will stay put.",Mr. Franklin,neutral,neutral,141,0,8,5,"00:07:59,937","00:08:04,024","Ok, te esuché fuerte y claro; Bob estará donde está."
1369,I think it’s best sir.,Chandler,neutral,neutral,141,1,8,5,"00:08:01,606","00:08:04,024","Creo que es lo mejor, señor."
1370,But we really do need to find someone up here.,Mr. Franklin,neutral,neutral,141,2,8,5,"0:08:04,192","0:08:06,364",Pero de veras necesitamos a alguien aquí
1371,The work is starting to pile up.,Mr. Franklin,neutral,neutral,141,3,8,5,"0:08:06,364","0:08:07,948",El trabajo comienza a apilarse
1372,I’ve got a stack of documents on my desk this high.,Mr. Franklin,neutral,neutral,141,4,8,5,"00:08:08,070","00:08:11,156",Tengo una pila así de alta en mi escritorio...
1373,"Y’know what you should do, just toss ‘em in the shedder and claim you never got ‘em.",Chandler,neutral,neutral,141,5,8,5,"00:08:13,659","00:08:18,997",Sabe lo que debería? Ponerlos en la  máquina trituradora y decir que nunca los recibió.
1374,That’s a good one.,Mr. Franklin,neutral,neutral,141,6,8,5,"00:08:16,996","00:08:18,997","Buena ésa, Bing."
1375,What does a guy have to,Chandler,neutral,neutral,141,7,8,5,"00:08:19,499","00:08:24,044",Qué tiene que hacer un tipo para que lo tomen en serio aquí ?!
1376,"Yeah, yeah, everybody's here. Hey, everybody, say hi to Julie in New Mexico.",Ross,neutral,neutral,142,0,2,5,"00:03:11,566","00:03:16,820",Â¡Hola a Todos! Â¡Saluden a Julie en Nuevo MÃ©xico!
1377,"Hi, Julie!",All,joy,positive,142,1,2,5,"00:03:14,360","00:03:16,820",Hola Julie.
1378,Isn’t there a national football league.,Phoebe,neutral,neutral,143,0,3,9,"00:21:49,891","00:21:52,935",Â¿No hay una liga nacional de fÃºtbol?
1379,"Yes. Yes, there is, they play on Sundays and Monday nights.",Chandler,neutral,neutral,143,1,3,9,"00:21:53,854","00:21:56,605","Si. si hay, juegan los domingos y lunes a la noche."
1380,Oh shoot! I work Monday nights.,Rachel,sadness,negative,143,2,3,9,"00:21:56,773","00:21:59,400",Â¡Oh diablos! Yo trabajo los lunes a la noche.
1381,"Umm, this stuffing is amazing. Do you think we should bring them some?",Phoebe,joy,positive,143,3,3,9,"00:22:02,070","00:22:05,948","Umm, este relleno es delicioso.Â¿No creen que deberÃ­amos llevarles un poco?"
1382,"When they’re hungry enough, they’ll come in.",Joey,neutral,neutral,143,4,3,9,"00:22:06,116","00:22:08,200","Cuando tengan hambre, de seguro volverÃ¡n."
1383,"Hey Joey, you wanted to talk to me?",Tag,neutral,neutral,144,0,7,5,"00:15:04,820","00:15:06,362","Hola Joey, ¿querías hablar conmigo?"
1384,"I don’t know. You uh, you got something for me?",Joey,neutral,neutral,144,1,7,5,"00:15:06,530","00:15:08,907",No sé. ¿Tienes... tienes algo para mí?
1385,"Oh, yeah, this is from Rachel.",Tag,neutral,neutral,144,2,7,5,"00:15:09,074","00:15:10,658","Oh, si, esto es de Rachel."
1386,Ten. Okay. Now Tag there’s such a thing as too many women.,Joey,neutral,neutral,144,3,7,5,"00:15:13,996","00:15:19,250","Diez. Bien.Tag, hay una cosa mejor que muchas chicas."
1387,Really?,Tag,surprise,positive,144,4,7,5,"0:15:19,919","0:15:20,471",¿En serio?
1388,"Yeah, for you!",Joey,joy,positive,144,5,7,5,"0:15:20,471","0:15:22,224","Si, ¡para ti!"
1389,"Oh, Danielle! I wasn't expecting the machine... Give me a call when you get a chance.  Bye-bye.  Oh God!",Chandler,surprise,negative,145,0,1,20,"00:05:09,309","00:05:21,320",Danielle! No sabía que tenías contestadora.Llámame a casa cuando tengas un momento.Adios. Oh Dios!.
1390,That's,Monica,neutral,neutral,145,1,1,20,"00:05:25,116","00:05:28,535",Para eso estuviste pensando casi dos horas?
1391,"Hey, I've been honing!",Chandler,anger,negative,145,2,1,20,"00:05:29,162","00:05:30,871","Oye, estuvo bien."
1392,What was with the dishes?,Ross,neutral,neutral,145,3,1,20,"00:05:31,831","00:05:32,998",Por que lo de los platos?
1393,"Oh, uh..",Chandler,fear,negative,145,4,1,20,"0:05:33,166","0:05:33,959",- ¿Qué?
1394,I want her to think I might be in a restaurant.. y'know?,Chandler,fear,negative,145,5,1,20,"0:05:33,959","0:05:36,229",Quiero que piense que estaba en un restaurante....
1395,"I might have some kind of life, like I haven't been sitting around here honing for the past few hours.",Chandler,anger,negative,145,6,1,20,"00:05:36,336","00:05:42,966","Que crea que llevo una vida normal, y que no adivine que he estado aquí pensando durante dos horas."
1396,"Look look! He's doing it again, the guy with the telescope!",Monica,surprise,negative,145,7,1,20,"00:05:43,301","00:05:52,934","Miren, Miren. Lo esta haciendo de nuevo, nos esta mirando por el telescopio."
1397,Oh my God!  Go away!  Stop looking in here!,Phoebe,anger,negative,145,8,1,20,"00:05:45,720","00:05:52,934","Oh Dios mio! Largate, deja de mirarnos."
1398,"Great, now he's waving back.",Monica,disgust,negative,145,9,1,20,"00:05:53,102","00:05:55,729","Genial, ahora nos está saludando."
1399,"Man, we gotta do something about that guy.",Joey,disgust,negative,145,10,1,20,"00:05:57,148","00:05:58,815",Tenemos que hacer algo con ese tipo.
1400,"This morning, I caught him looking into our apartment.",Joey,disgust,negative,145,11,1,20,"00:05:58,983","00:06:01,318","Esta mañana, lo sorprendi mirando nuestro departamento. Me asusta."
1401,It creeps me out!,Joey,anger,negative,145,12,1,20,"0:06:01,486","0:06:02,654",¡Me asusta mucho!
1402,I feel like I can't do stuff!,Joey,anger,negative,145,13,1,20,"0:06:02,654","0:06:04,181",¡Siento que no puedo hacer cosas!
1403,What kinda stuff?,Monica,joy,positive,145,14,1,20,"00:06:05,031","00:06:07,240",¿Qué clase de cosas?
1404,"Will you grow up? I'm not talking about sexy stuff, but, like, when I'm cooking naked.",Joey,disgust,negative,145,15,1,20,"00:06:08,993","00:06:14,664","No estoy hablando de cosas sexys, sino cuando cocino desnuda."
1405,You cook naked?,Phoebe,surprise,positive,145,16,1,20,"00:06:17,043","00:06:18,377",¿Cocinas desnuda?
1406,"Yeah, toast, oatmeal... nothing that spatters.",Joey,neutral,neutral,145,17,1,20,"00:06:18,544","00:06:21,713","Sí, tostadas, avena... nada que salpicara."
1407,What are you looking at me for? I didn't know that.,Chandler,surprise,negative,145,18,1,20,"00:06:25,176","00:06:27,719",¿Por qué me estás mirando?
1408,Y'know they say a watched pot never beeps.,Monica,neutral,neutral,146,0,3,14,"00:11:29,814","00:11:33,149",Dicen que si miras una olla nunca hierve.
1409,"It’s just y'know, been a couple of hours, and she hasn’t called. Not that I even care, y'know.",Phoebe,sadness,negative,146,1,3,14,"00:11:38,948","00:11:46,538","Es que, mira, hace un par de horas, que no me llama.No es que eso me importe, no."
1410,Phoebe why don’t you just call her? You obviously want to.,Monica,neutral,neutral,146,2,3,14,"00:11:44,328","00:11:48,790","Phoebe, porque no la llamas tÃº? EstÃ¡ claro que quieres hacerlo."
1411,You think you know me so well.,Phoebe,anger,negative,146,3,3,14,"00:11:48,958","00:11:50,959",Crees que me conoces bien.
1412,"Well, don’t ‘cha wanna?",Monica,neutral,neutral,146,4,3,14,"0:11:51,127","0:11:52,128",Y no quieres hacerlo?
1413,Yeah.,Phoebe,neutral,neutral,146,5,3,14,"0:11:52,128","0:11:54,017",SÃ­.
1414,"Okay, well I do know you.",Monica,neutral,neutral,146,6,3,14,"0:11:55,131","0:11:56,633",Pues estÃ¡ claro que te conozco.
1415,That’s what I said.,Phoebe,neutral,neutral,146,7,3,14,"0:11:56,633","0:11:58,887",Es lo que he dicho.
1416,Well so?,Monica,neutral,neutral,146,8,3,14,"0:12:01,053","0:12:01,805",Entonces?
1417,I can’t.,Phoebe,sadness,negative,146,9,3,14,"0:12:01,805","0:12:03,147",No puedo
1418,I can’t.,Phoebe,sadness,negative,146,10,3,14,"0:12:03,147","0:12:03,683",no puedo. Ella me abandonÃ³
1419,"She dumped me, I mean I totally trusted her and then one day it was ‘Okay, bye Pheebs’ gone.",Phoebe,sadness,negative,146,11,3,14,"00:12:03,764","00:12:11,020",yo confiaba en ella y de repente un dÃ­ame dijo 'AdiÃ³s Phoebe' y se fue
1420,"Y'know what the saddest part is, when we were playing together, that was like the most fun I’ve ever had in like all my lives.",Phoebe,sadness,negative,146,12,3,14,"00:12:12,648","00:12:20,864",Y sabes que fue lo mÃ¡s triste de todo?cuando tocÃ¡bamos juntas yo disfrutaba mÃ¡s de lo que habÃ­a disfrutado nunca
1421,"Ok, bye.  Well, Monica's not coming, it's just gonna be me and Rachel.",Ross,neutral,neutral,147,0,1,5,"00:07:08,803","00:07:12,389","Bueno, MÃ³nica no puede ir, asÃ­ que sÃ³lo estaremos Rachel y yo."
1422,"Oh. Well, hold on camper, are you sure you've thought this thing through?",Chandler,neutral,neutral,147,1,1,5,"00:07:13,766","00:07:16,852",Espera un momento... Â¿EstÃ¡s seguro de lo que vas a hacer?
1423,It's laundry. The thinking through is minimal.,Ross,neutral,neutral,147,2,1,5,"00:07:17,103","00:07:20,272",Voy a la lavanderÃ­a porque tengo que lavar mi ropa.
1424,"It's just you and Rachel, just the two of you? This is a date. You're going on a date.",Chandler,joy,positive,147,3,1,5,"00:07:21,399","00:07:26,027",Â¿SÃ³lo tÃº y Rachell? Â¿SÃ³lo vosots dos?Es una cita. Vas a tener una cita.
1425,Nuh-uh.,Ross,fear,negative,147,4,1,5,"00:07:27,864","00:07:28,989","No, no, no."
1426,Yuh-huh.,Chandler,joy,positive,147,5,1,5,"00:07:31,325","00:07:32,576",- ¿Qué?
1427,"So what're you saying here? I should shave again, pick up some wine, what?",Ross,surprise,negative,147,6,1,5,"00:07:33,703","00:07:37,539","Â¿QuÃ© intentas decirme?Â¿Que deberÃ­a afeitarme, comprar un poco de vino, o quÃ©?"
1428,"Well, you may wanna rethink the dirty underwear.",Chandler,disgust,negative,147,7,1,5,"00:07:37,790","00:07:41,126","Bueno, deberÃ­as replantearte lo de la ropa interior."
1429,This is basically the first time she's gonna see your underwear—you want it to be dirty?,Chandler,surprise,negative,147,8,1,5,"00:07:42,420","00:07:46,548",SerÃ¡ la primera vez queella vea tu ropa interior... Â¿Quieres que estÃ© sucia?
1430,No.,Ross,neutral,neutral,147,9,1,5,"00:07:50,887","00:07:52,179","- No, no es así."
1431,"Oh, and uh, the fabric softener?",Chandler,neutral,neutral,147,10,1,5,"00:07:53,639","00:07:55,807",¿Y el suavizante de tejidos?
1432,"Ok, ok, now what is wrong with my",Ross,anger,negative,147,11,1,5,"00:07:56,017","00:07:58,810","Está bien, ahora, ¿qué pasa con mi"
1455,"Ooh, oh no! I have to go! I have a massage appointment.",Phoebe,sadness,negative,149,0,8,7,"00:13:57,294","00:14:01,172","Oh, no, debo irme. Tengo una hora de masajes."
1456,"Oh no, stay here we’ll keep doing this. I’ll pay you.",Eric,neutral,neutral,149,1,8,7,"00:14:01,340","00:14:04,592","No, quédate aquí. Sigamos en esto. Te pago."
1457,"No, I got in trouble for that before. I’ll see you later.",Phoebe,neutral,neutral,149,2,8,7,"00:14:05,469","00:14:11,766","No, ya he estado en problemas por eso.¿Te veo después? - Definitivamente."
1458,Absolutely.  I love the way you kiss.,Eric,joy,positive,149,3,8,7,"00:14:13,978","00:14:16,020",Me encanta cómo besas.
1459,Oh my God! Oh my God! I’m so sorry!,Mona,fear,negative,150,0,8,8,"00:10:59,659","00:11:01,785","Oh, ¡Dios! ¡Lo siento tanto!"
1460,"Aw forget it, it’s from",Ross,neutral,neutral,150,1,8,8,"00:11:01,952","00:11:04,663",Olvídalo. Es de Pier 1.Lo siento.
1461,You think you can knock up my daughter and then not marry her?! I’m gonna kill you!!,Dr. Green,anger,negative,150,2,8,8,"00:11:14,382","00:11:20,553","¿Crees que puedes ""despertar"" a mi hija y no casarte con ella?¡Debería matarte!"
1462,Y’know this is actually not a great time for me.,Ross,sadness,negative,150,3,8,8,"00:11:22,932","00:11:25,475","Sabe, realmente no es un muy buen momento para mí ..."
1481,Oh my God!,Monica,surprise,negative,152,0,1,1,"00:10:22,204","00:10:24,289","Lo se, lo se, soy un completo idiota."
1482,"I know, I know, I'm such an idiot.",Paul,joy,positive,152,1,1,1,"00:10:24,498","00:10:28,793","Lo sé, lo sé, soy un idiota."
1485,"My brother's going through that right now, he's such a mess. How did you get through it?",Monica,neutral,neutral,152,4,1,1,"00:10:36,427","00:10:40,680","Mi hermano esta pasando por algo asÃ­, estÃ¡ destrozado.Â¿CÃ³mo lo superaste tÃº?"
1486,"Well, you might try accidentally breaking something valuable of hers, say her-",Paul,neutral,neutral,152,5,1,1,"00:10:40,890","00:10:44,392","Dile que intente romper algo que sea muy valioso para ella, por ejemplo..."
1487,-leg?,Monica,neutral,neutral,152,6,1,1,"00:10:44,560","00:10:46,144",Â¿Una pierna?
1488,"That's one way! Me, I- I went for the watch.",Paul,neutral,neutral,152,7,1,1,"00:10:48,773","00:10:50,315",Es una posibilidad. Yo quebrÃ© su reloj.
1489,You actually broke her watch?,Monica,surprise,positive,152,8,1,1,"00:10:50,775","00:10:52,651",Â¿TÃº le rompiste el reloj?
1492,"Barry, I'm sorry...",Rachel,sadness,negative,152,9,1,1,"0:10:53,277","0:10:54,737","Barry, lo siento..."
1493,I am so sorry...,Rachel,sadness,negative,152,10,1,1,"0:10:54,737","0:10:56,422",Lo siento mucho...
1494,"I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju-  Hi, machine cut me off again... anyway...",Rachel,sadness,negative,152,11,1,1,"00:10:56,614","00:11:06,706","creerÃ¡s que tiene que ver con lo que te dije sobre hacer el amor con los calcetines puestos...pero no es asÃ­, esta vez se trata de mi, cuando...Hola, la contestadora se corto de nuevo, de cualquier forma...."
1495,"No real-, honey, really it’s fine, just g-go with Susan.",Ross,neutral,neutral,153,0,3,6,"00:09:15,304","00:09:21,851","No, oye, cariÃ±o en serio, estÃ¡ bien. Vete vete con Susan. De veras, creo que,"
1496,"Really, I, no, I think girls night out is a great idea.",Ross,joy,positive,153,1,3,6,"00:09:20,768","00:09:25,146","no, creo que la noche de las chicas es una idea genial. bueno, bueno, adiÃ³s."
1497,"Okay, okay, bye",Ross,neutral,neutral,153,2,3,6,"00:09:27,233","00:09:28,858","Está bien, adiós."
1498,So what are they doing?,Phoebe,neutral,neutral,153,3,3,6,"0:09:29,402","0:09:30,487",Y quÃ© van a hacer?
1499,"I don’t know, something girlie.",Ross,joy,positive,153,4,3,6,"0:09:30,487","0:09:32,851","No sÃ©, cosas de chicas."
1500,"Hey, you’re early.",Phoebe,neutral,neutral,153,5,3,6,"00:09:36,659","00:09:37,909","Hola, llegas temprano."
1501,What are you doing with the lamp?,Monica,surprise,positive,153,6,3,6,"00:09:38,160","00:09:40,078",QuÃ© haces con esa lÃ¡mpara?
1502,I’m just taking it to be re-wired.,Phoebe,neutral,neutral,153,7,3,6,"00:09:40,580","00:09:51,965",Me la llevo para que la arreglen.
1503,"Oh, well don’t take it to the same place you took the stereo, ‘cause they’ve had that thing for over a week.",Monica,disgust,negative,153,8,3,6,"00:09:44,333","00:10:00,015","Oh, pues no la lleves donde llevaste la minicadenaporque lleva allÃ­ algo mÃ¡s de una semana."
1504,"No, no, Mr. Heckles no one is making any noise up here.",Phoebe,neutral,neutral,153,9,3,6,"00:09:56,512","00:10:00,015","No, no, Sr. Heckles ahora no estamos haciendo ruido."
1505,You’re disturbing my oboe practice.,Mr. Heckles,anger,negative,153,10,3,6,"00:10:00,558","00:10:02,934",Me estÃ¡is molestando en mis prÃ¡cticas de oboe.
1506,You don’t play the oboe!,Phoebe,anger,negative,153,11,3,6,"0:10:03,311","0:10:04,523",Usted no toca el oboe!
1507,I could play the oboe!,Mr. Heckles,anger,negative,153,12,3,6,"0:10:04,523","0:10:06,491",¡Podría tocar el oboe!
1508,Ohhh! That is soo sweet!,Rachel,joy,positive,154,0,3,12,"00:13:59,713","00:14:02,799",Ohhh! Que romÃ¡ntico!
1509,"Okay, okay look, I know I'm being Mr. Inappropriate today, but it's just so tough, I mean see you walking around and I just wanna touch you and hold you, come on no one's around, just, just kiss me.",Mark,joy,positive,154,1,3,12,"00:14:03,759","00:14:14,018","Vale, vale. ya sÃ© que este no es el lugar mÃ¡s apropiado pero no puedo evitarlo.Te veo dando vueltas por aquÃ­ y me entran ganas de tocarte y abrazarte, venga no hay nadie mÃ¡s, asÃ­ que bÃ©same."
1510,"All right that's, that's it!! Get off her!",Ross,anger,negative,154,2,3,12,"0:14:14,186","0:14:16,248","Bueno, ya basta, dÃ©jalo!! No la toques!"
1511,What is going on?,Mark,surprise,negative,154,3,3,12,"0:14:16,248","0:14:17,920",A que viene esto?
1512,What's going on?!  That's what's going on!!,Ross,anger,negative,154,4,3,12,"00:14:18,023","00:14:20,817",A que viene esto?! Toma yo te dirÃ© a que viene esto!!
1513,Ross!,Rachel,surprise,negative,154,5,3,12,"00:14:21,026","00:14:22,861",Ross!
1514,I have been down in your store for twenty minutes trying to get a tie!,Ross,anger,negative,154,6,3,12,"00:14:27,408","00:14:31,953",Llevo casi veinte minutos en vuestra tienda intentando comprar una corbata!
1515,What do I have to do to get some service?!,Ross,anger,negative,154,7,3,12,"00:14:34,081","00:14:36,791",QuÃ© tengo que hacer para que alguien me atienda?
1516,Hi Rach.,Ross,neutral,neutral,154,8,3,12,"00:14:38,711","00:14:40,420",Hola Rachel.
1517,Ross?,Mona,neutral,neutral,155,0,8,5,"0:20:39,238","0:20:39,781",Ross ?
1518,Yeah?,Ross,neutral,neutral,155,1,8,5,"0:20:39,781","0:20:40,456",Sí?
1519,Hey it’s Mona! From the wedding.,Mona,joy,positive,155,2,8,5,"00:20:40,572","00:20:43,074","Es Mona, de la boda."
1520,Oh hi!,Ross,joy,positive,155,3,8,5,"0:20:43,242","0:20:44,953","Oh, hola !"
1521,Hi!,Mona,joy,positive,155,4,8,5,"0:20:44,953","0:20:45,907",- ¿Qué pasa?
1522,Wow! Uh…how are you?,Ross,surprise,positive,155,5,8,5,"00:20:47,371","00:20:49,497",¿Cómo estás?
1523,"I’m good except umm, you still owe me a dance.",Mona,neutral,neutral,155,6,8,5,"00:20:49,665","00:20:56,170","Como andas? - Bien, excepto que me debes un baile."
1524,"Oh that’s right. Well uh, would you be interested in seeing a Ukrainian film?",Ross,joy,positive,155,7,8,5,"00:20:51,458","00:20:56,170",Estarías interesada en ver un film ucraniano ?
1525,Oh you’re serious. Sure!,Mona,surprise,positive,155,8,8,5,"00:20:58,465","00:21:00,383",Oh es en serio. Sí!
1526,Great! Well umm,Ross,joy,positive,155,9,8,5,"00:21:01,885","00:21:04,178",Grandioso...yo...
1527,I think I might need one more cup of coffee.,Mona,neutral,neutral,155,10,8,5,"00:21:05,180","00:21:07,390",Creo que podría necesitar una taza más de café.
1528,"Sure! Uh, let me get it for ya.",Ross,neutral,neutral,155,11,8,5,"0:21:07,557","0:21:09,101","Bueno, déjame traértela."
1529,Okay.,Mona,neutral,neutral,155,12,8,5,"0:21:09,101","0:21:10,791",- ¿Qué quieres?
1542,"Hey, thank you so much for these tickets, Chandler.",Phoebe,joy,positive,157,0,9,20,"00:23:25,600","00:23:28,478","Gracias por invitarnos, Chandler."
1543,"Oh well, this was a really important experience for me, and    I wanted to share it with you.",Chandler,joy,positive,157,1,9,20,"00:23:28,645","00:23:33,024","Fue una experiencia maravillosa para mí, y quería compartirla con ustedes."
1544,"Oh, you're so wonderful.",Monica,joy,positive,157,2,9,20,"00:23:33,191","00:23:34,985",Eres tan maravilloso.
1556,Chandler is fantastic!!,Joanna,joy,positive,159,0,3,20,"00:09:36,284","00:09:38,660",Chandler es fantÃ¡stico!!
1557,What?!,Rachel,surprise,positive,159,1,3,20,"0:09:39,453","0:09:41,122",QuÃ©?!
1559,Y’know how people just click?,Joanna,joy,positive,159,2,3,20,"0:09:41,122","0:09:41,903","Dios mÃ­o, congeniamos! Sabes que a veces la gente nos sentimos atraÃ­dos?"
1560,"Like he came by to pick me up, and I opened the door, and it was just like, click!",Joanna,joy,positive,159,3,3,20,"00:09:41,998","00:09:46,293",Pues vino a recogerme
1561,Did he tell you?,Joanna,surprise,positive,159,4,3,20,"00:09:46,460","00:09:47,961",abrÃ­ la puerta y fue un clic! No te lo ha contado?
1563,"Oh, and he’s got such a good heart! Doesn’t he have a good heart?",Joanna,joy,positive,159,5,3,20,"00:09:48,170","00:09:50,922","Oh, y es tan bueno, verdad que tiene un gran corazÃ³n?"
1564,"Oh, I know...",Rachel,joy,positive,159,6,3,20,"00:09:51,090","00:09:52,674","Oh, sÃ­ claro..."
1565,"Oh, I know and he’s soo sweet! Listen, he said he was going to call, so put him straight through.",Joanna,joy,positive,159,7,3,20,"00:09:51,090","00:09:55,010","Oh, sÃ­, es tan dulce! Me dijo que me iba a llamar asÃ­ que, pÃ¡samelo directamente."
1566,Isn’t this great?!,Sophie,joy,positive,159,8,3,20,"0:09:55,177","0:09:56,512",Verdad que es genial?!
1567,Don’t spoil it.,Joanna,neutral,neutral,159,9,3,20,"0:09:56,512","0:09:58,317",No lo estropees.
1568,Hi.,Ross,neutral,neutral,160,0,3,14,"0:05:29,162","0:05:29,714",Hola.
1569,"Hi, sweetie!",Rachel,joy,positive,160,1,3,14,"0:05:29,714","0:05:30,891","Hola, cariÃ±o!"
1570,Hello.,Ross,neutral,neutral,160,2,3,14,"00:05:30,997","00:05:32,956",Hola.
1571,"Hi, Ross.",Mark,neutral,neutral,160,3,3,14,"00:05:33,124","00:05:34,374","Hola, Ross."
1572,"Yeah, huh.",Ross,neutral,neutral,160,4,3,14,"00:05:34,542","00:05:35,959","Ah, sÃ­."
1573,I?ve got some bad news.,Rachel,sadness,negative,160,5,3,14,"0:05:37,295","0:05:38,922",Tengo una mala noticia.
1574,What?,Ross,fear,negative,160,6,3,14,"0:05:38,922","0:05:39,530",CuÃ¡l?
1575,"I can get a quick bite to eat, but then I have to come back up here.",Rachel,neutral,neutral,160,7,3,14,"00:05:39,630","00:05:41,965","Puedo salir a comer en plan rÃ¡pido, pero tengo que volver."
1576,"Come on sweetie! You?ve had to work late every night for the past two weeks, what is it this time?",Ross,sadness,negative,160,8,3,14,"00:05:42,133","00:05:48,305","Vamos! Has trabajado hasta tarde todas las nochesdesde hace dos semanas, quÃ© pasa esta vez?Me temo que es mi culpa. He dejado el trabajo."
